,lines,shapely,length,start,end
2234,"LINESTRING (105.7629462209056 20.08283423886604, 105.7629500598499 20.08283698770785)","LINESTRING (105.7629462209056 20.08283423886604, 105.7629500598499 20.08283698770785)",0.503650342807,POINT (105.7629462209056 20.08283423886604),POINT (105.7629500598499 20.08283698770785)
2237,"LINESTRING (105.7630622785868 20.08260163125528, 105.7630544617365 20.08260767757065)","LINESTRING (105.7630622785868 20.08260163125528, 105.7630544617365 20.08260767757065)",1.05629848205,POINT (105.7630622785868 20.08260163125528),POINT (105.7630544617365 20.08260767757065)
2239,"LINESTRING (105.7631155669954 20.08264304479738, 105.7631166999136 20.08264342862765)","LINESTRING (105.7631155669954 20.08264304479738, 105.7631166999136 20.08264342862765)",0.125842604211,POINT (105.7631155669954 20.08264304479738),POINT (105.7631166999136 20.08264342862765)
2240,"LINESTRING (105.763117280139 20.08264274447082, 105.7631155669954 20.08264304479738)","LINESTRING (105.763117280139 20.08264274447082, 105.7631155669954 20.08264304479738)",0.182181692398,POINT (105.763117280139 20.08264274447082),POINT (105.7631155669954 20.08264304479738)
2243,"LINESTRING (105.7635431363309 20.08543446599444, 105.763541829531 20.08543590235492)","LINESTRING (105.7635431363309 20.08543446599444, 105.763541829531 20.08543590235492)",0.209613791367,POINT (105.7635431363309 20.08543446599444),POINT (105.763541829531 20.08543590235492)
2244,"LINESTRING (105.763541829531 20.08543590235492, 105.7635519777046 20.0854323421875)","LINESTRING (105.763541829531 20.08543590235492, 105.7635519777046 20.0854323421875)",1.13185260647,POINT (105.763541829531 20.08543590235492),POINT (105.7635519777046 20.0854323421875)
2246,"LINESTRING (105.7636160360894 20.08566255366575, 105.7636179472869 20.0856624351712)","LINESTRING (105.7636160360894 20.08566255366575, 105.7636179472869 20.0856624351712)",0.200258459401,POINT (105.7636160360894 20.08566255366575),POINT (105.7636179472869 20.0856624351712)
2247,"LINESTRING (105.763647107699 20.08584499586951, 105.7636442584507 20.08584681783462, 105.763636807871 20.08585294931403, 105.7636268361838 20.08585926777667)","LINESTRING (105.763647107699 20.08584499586951, 105.7636442584507 20.08584681783462, 105.763636807871 20.08585294931403, 105.7636268361838 20.08585926777667)",2.6482245513,POINT (105.763647107699 20.08584499586951),POINT (105.7636268361838 20.08585926777667)
2250,"LINESTRING (105.7638493265481 20.11093241350348, 105.7638475555457 20.11094898283103)","LINESTRING (105.7638493265481 20.11093241350348, 105.7638475555457 20.11094898283103)",1.84305198629,POINT (105.7638493265481 20.11093241350348),POINT (105.7638475555457 20.11094898283103)
2252,"LINESTRING (105.7638752642277 20.08598973125297, 105.7638716893574 20.08599716984586)","LINESTRING (105.7638752642277 20.08598973125297, 105.7638716893574 20.08599716984586)",0.904108587414,POINT (105.7638752642277 20.08598973125297),POINT (105.7638716893574 20.08599716984586)
